SKU_GROUP,RETRUN_PCT,SIZE_TOO_BIG,SIZE_TOO_SMALL,XS_RETURN,XS_TOO_BIG,XS_TOO_SMALL,S_TOO_BIG,S_TOO_SMALL,M_TOO_BIG,M_TOO_SMALL,L_TOO_BIG,L_TOO_SMALL,XL_TOO_BIG,XL_TOO_SMALL,XXL_TOO_BIG,XXL_TOO_SMALL,XL3_TOO_BIG,XL3_TOO_SMALL,XL4_TOO_BIG,XL4_TOO_SMALL,XL5_TOO_BIG,XL5_TOO_SMALL,XL6_TOO_BIG,XL6_TOO_SMALL,XL7_TOO_BIG,XL7_TOO_SMALL,XL8_TOO_BIG,XL8_TOO_SMALL,CATEGORY,L1_CATEGORY,VENDOR,IMAGE_URL,ONLINE_INVENTORY,TOTAL_INVENTORY
4MSR5194-03,20,12,16,19,23,10,12,15,11,15,11,15,9,30,,,,,,,,,,,,,,,Trousers,snitch,India-Vintage,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/6fb7de0fb0a42fa4c6ae07772e67f8b4.jpg?v=1730896548,4337,4474
4MSS4758-06,16,14,18,11,25,50,,25,15,7,14,7,23,15,,50,,,,,,,,,,,,,Shirts,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4mss4758-06_1.jpg?v=1772185181,14,99
4MCR1010-02,18,34,15,19,14,43,18,27,46,4,33,13,67,,,33,,,,,,,,,,,,,Shirts,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/DSC_3781.jpg?v=1747979272,12,23
4MSR5205-06,16,11,15,,,,4,8,15,13,8,10,15,15,6,50,,,,,,,,,,,,,Trousers,snitch,,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSR5205-06-3252.jpg?v=1737106840,80,84
4MSS4737-02,17,43,5,12,33,,17,25,52,,48,5,55,,25,,,,,,,,,,,,,,Shirts,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4mss4737-02_1.jpg?v=1773208516,11,53
4MSD4116-05,34,43,4,,,,42,4,43,2,44,4,45,8,,,,,,,,,,,,,,,Jeans,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4msd4116-05_1.jpg?v=1756310472,220,277
4MSS4157-02,15,24,20,20,42,25,10,30,17,20,20,27,33,11,27,14,,,,,,,,,,,,,Shirts,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4mss4157-02_1.jpg?v=1759819703,3,3
4MSS4050-05,19,48,7,22,13,25,18,35,29,5,53,3,69,3,52,4,,,,,,,,,,,,,Shirts,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSS4050-05_1_e34938c4-9306-4ecd-ac30-2d4b0b53dd65.jpg?v=1747055491,111,112
4MSD3518-01,20,5,21,,,,5,30,3,17,8,23,11,9,2,17,,,,,,,,,,,,,Jeans,snitch,,https://cdn.shopify.com/s/files/1/0420/7073/7058/products/Snitch_April22_0014-9.jpg?v=1762777713,5,13
4MSS4708-02,16,34,4,20,67,,25,6,21,,43,3,27,,36,9,,,,,,,,,,,,,Shirts,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/1_7776653c-1f04-4fda-b0a6-d142c84fff16.jpg?v=1770658343,8,31
4MSR5194-01,20,14,16,18,19,17,12,18,13,12,14,11,16,28,,,,,,,,,,,,,,,Trousers,snitch,India-Vintage,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/469ca18650a7ed95611dbe22151c28e8.jpg?v=1730896522,216,220
4MSD4207-01,25,37,4,,,,32,,42,1,40,4,30,4,29,17,,,,,,,,,,,,,Jeans,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/1_0bb6dd2e-c805-472f-a6d0-330ab1f77e4c.jpg?v=1771262257,6,43
4MCRT0002-02,16,54,5,14,33,17,47,,35,5,55,4,73,7,68,11,,,,,,,,,,,,,T-Shirts,snitch,Snitch Apparels Pvt. Ltd,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MCRT0002-02_1_0723aca4-5d52-4978-97c7-d9f1d2fd7db9.jpg?v=1750095037,0,0
4MSR5515-05,19,27,16,6,33,,27,8,30,12,21,25,30,25,,,,,,,,,,,,,,,Trousers,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4msr5515-05_1.jpg?v=1767808046,124,266
4MSD4208-05,18,32,2,,,,32,,31,,38,,17,8,67,33,,,,,,,,,,,,,Jeans,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4msd4208-05_1.jpg?v=1773338180,255,500
4MSD3889-04,20,21,5,,,,20,4,21,4,22,3,26,7,4,15,,,,,,,,,,,,,Jeans,snitch,,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSD3889-04-328.jpg?v=1735973217,22,127
4JE039-01,38,45,2,30,39,6,50,2,50,1,42,1,29,6,40,,,,,,,,,,,,,,Jeans,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4JE039-01-32-6.jpg?v=1778238756,110,217
4MSS3941-05,19,19,26,36,5,64,5,43,11,23,19,6,39,2,41,3,,,,,,,,,,,,,Shirts,snitch,India-Leandro,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSS3941-05_1_06bfc0f3-fd23-4d99-899b-a653f0aad4a4.jpg?v=1744079030,8,12
